feature,f_classif_score,model
NM_001005176,9.817380886563875,Logistic Regression
NM_014662,9.787786799477365,Logistic Regression
AK127224,9.786181177337541,Logistic Regression
BC069661,9.767722946148309,Logistic Regression
NM_198445,9.761148144791772,Logistic Regression
NM_006080,9.757569124076163,Logistic Regression
BC018929,9.749633423569378,Logistic Regression
NM_018530,9.741520969845666,Logistic Regression
NM_001028,9.74109474412823,Logistic Regression
NM_014498,9.738104902847681,Logistic Regression
BC047231,9.735238625913368,Logistic Regression
BC015066,9.7329847624753,Logistic Regression
AL833175,9.728397865522735,Logistic Regression
NM_020682,9.724628841627148,Logistic Regression
AK056514,9.721233123436294,Logistic Regression
BC064963,9.713721483950405,Logistic Regression
BC022294,9.707343400715645,Logistic Regression
XM_376720,9.703382330531712,Logistic Regression
NM_012216,9.702441969644937,Logistic Regression
NM_018250,9.697228512561164,Logistic Regression
BC110581,9.695759540630808,Logistic Regression
AK130172,9.69074465175351,Logistic Regression
NM_025155,9.676296813873238,Logistic Regression
AF155381,9.674748882798996,Logistic Regression
BC101540,9.668012043615105,Logistic Regression
NM_024701,9.655810799233295,Logistic Regression
BC048347,9.654012952854046,Logistic Regression
NM_020153,9.643117043563112,Logistic Regression
NM_014780,9.639961727688558,Logistic Regression
AK126630,9.635407301381344,Logistic Regression
BC031059,9.624495688465402,Logistic Regression
AK172831,9.6242228428122,Logistic Regression
NM_024783,9.61269151525302,Logistic Regression
NM_020166,9.608944016338997,Logistic Regression
NM_145064,9.607286555197753,Logistic Regression
NM_181489,9.605422286661392,Logistic Regression
NM_014253,9.597825175973808,Logistic Regression
NM_000297,9.589242517674364,Logistic Regression
NM_024307,9.585070774042642,Logistic Regression
BC019890,9.584147373994886,Logistic Regression
NM_007259,9.583835090175045,Logistic Regression
XM_376269,9.56646787159212,Logistic Regression
NM_024642,9.55890238820984,Logistic Regression
AK055483,9.557384489748479,Logistic Regression
AF516696,9.555609386989971,Logistic Regression
DQ082998,9.54984703960501,Logistic Regression
AK094682,9.549172463749533,Logistic Regression
BC098288,9.547472214808286,Logistic Regression
NM_001010856,9.531955926303661,Logistic Regression
AY232658,9.526721445514136,Logistic Regression
AL136573,9.525898360888235,Logistic Regression
AK056186,9.525315690690606,Logistic Regression
NM_004233,9.519007899552228,Logistic Regression
BC067086,9.513008800293377,Logistic Regression
NM_014790,9.510202067543593,Logistic Regression
NM_052998,9.498787902260782,Logistic Regression
NM_014574,9.493754087935326,Logistic Regression
XM_932030,9.478569001597284,Logistic Regression
NM_015911,9.45972765730774,Logistic Regression
NM_015205,9.454727151286155,Logistic Regression
NM_002388,9.451224126283803,Logistic Regression
NM_004679,9.445819518986207,Logistic Regression
XM_291974,9.44470028063564,Logistic Regression
NM_134426,9.444447938757904,Logistic Regression
BC005962,9.438514447422945,Logistic Regression
NM_001012512,9.434882001591678,Logistic Regression
XM_926997,9.430419093480955,Logistic Regression
DQ321787,9.428873060827911,Logistic Regression
NM_017933,9.424901631308742,Logistic Regression
XM_928496,9.423345417774748,Logistic Regression
NM_004834,9.421693423732458,Logistic Regression
NM_001039936,9.411098405097295,Logistic Regression
NM_001310,9.408629186113645,Logistic Regression
AY358109,9.407275367404432,Logistic Regression
NM_003953,9.407208012843668,Logistic Regression
NM_005535,9.406856657197423,Logistic Regression
NM_022840,9.402624891990532,Logistic Regression
AB073660,9.395493690167731,Logistic Regression
BC035696,9.394819342835033,Logistic Regression
BC020657,9.378636133971312,Logistic Regression
